                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0593,                 1.1698,                 1.5752,                0.91856,                0.85212,                0.90059,                0.60973,                 1.0498,                 1.0062,                 1.6171,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0307,                 1.1349,                 1.5681,                0.88566,                0.94833,                0.94086,                 0.6839,                0.98463,                0.88473,                 1.5167,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0648,                 1.1656,                 1.5855,                 0.8608,                0.84651,                0.89129,                0.64881,                 1.0289,                 0.9704,                 1.5793,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0414,                 1.1404,                 1.5619,                0.76105,                0.87736,                0.85311,                0.66499,                0.87644,                0.96109,                  1.485,              0.0010729,              0.0010729,              0.0010729
                     38,                   1.02,                  1.091,                 1.5525,                0.90495,                0.86039,                0.90908,                0.66292,                0.96995,                0.90183,                  1.516,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0196,                 1.1133,                 1.5468,                0.93189,                0.83775,                0.93046,                0.70694,                0.85864,                 0.9058,                 1.4304,              0.0010399,              0.0010399,              0.0010399
                     40,                0.98315,                 1.0655,                 1.5165,                0.85872,                0.87371,                0.91846,                0.70781,                0.92704,                0.90379,                 1.4844,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0071,                 1.0765,                 1.5277,                0.79295,                0.83913,                0.87812,                0.63102,                0.98183,                0.94885,                 1.5054,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.9643,                 1.0348,                  1.504,                0.90374,                0.88312,                0.93171,                0.72946,                0.80652,                0.78425,                 1.3808,             0.00099036,             0.00099036,             0.00099036
                     43,                0.95215,                0.98329,                 1.4744,                0.91118,                0.85954,                0.90742,                 0.6673,                0.94931,                0.90623,                 1.5096,             0.00097386,             0.00097386,             0.00097386
                     44,                0.93788,                 1.0229,                 1.4732,                 0.9109,                0.86875,                0.92123,                0.71505,                0.86124,                0.83446,                 1.4477,             0.00095736,             0.00095736,             0.00095736
